Date,SPY
2/15/2017,228.4947
2/14/2017,227.308
2/13/2017,226.4035
2/10/2017,225.1779
2/9/2017,224.2928
2/8/2017,222.97
2/7/2017,222.6783
2/6/2017,222.6685
2/3/2017,223.0673
2/2/2017,221.5403
2/1/2017,221.3943
1/31/2017,221.3068
1/30/2017,221.3263
1/27/2017,222.7074
1/26/2017,223.0576
1/25/2017,223.291
1/24/2017,221.3749
1/23/2017,219.9645
1/20/2017,220.5384
1/19/2017,219.7311
1/18/2017,220.5482
1/17/2017,220.0618
1/13/2017,220.8399
1/12/2017,220.3342
1/11/2017,220.8886
1/10/2017,220.2661
1/9/2017,220.2661
1/6/2017,220.9956
1/5/2017,220.2077
1/4/2017,220.3828
1/3/2017,219.0795
12/30/2016,217.4162
12/29/2016,218.2138
12/28/2016,218.2624
12/27/2016,220.0813
12/23/2016,219.5366
12/22/2016,219.2156
12/21/2016,219.595
12/20/2016,220.2077
12/19/2016,219.3615
12/16/2016,218.8849
12/15/2016,219.3139
12/14/2016,218.4147
12/13/2016,220.2325
12/12/2016,218.7724
12/9/2016,219.0238
12/8/2016,217.7088
12/7/2016,217.177
12/6/2016,214.3728
12/5/2016,213.6959
12/2/2016,212.4196
12/1/2016,212.3132
11/30/2016,213.0964
11/29/2016,213.6089
11/28/2016,213.1931
11/25/2016,214.1988
11/23/2016,213.4059
11/22/2016,213.2898
11/21/2016,212.874
11/18/2016,211.2786
11/17/2016,211.7524
11/16/2016,210.6694
11/15/2016,211.0659
11/14/2016,209.4317
11/11/2016,209.2673
11/10/2016,209.7508
11/9/2016,209.2287
11/8/2016,207.0337
11/7/2016,206.1054
11/4/2016,201.6574
11/3/2016,201.8798
11/2/2016,202.8081
11/1/2016,204.0361
10/31/2016,205.5252
10/28/2016,205.5155
10/27/2016,206.1247
10/26/2016,206.6759
10/25/2016,207.0917
10/24/2016,207.7879
10/21/2016,206.9079
10/20/2016,206.8113
10/19/2016,207.198
10/18/2016,206.6469
10/17/2016,205.3609
10/14/2016,206.0764
10/13/2016,205.97
10/12/2016,206.6469
10/11/2016,206.3761
10/10/2016,209.0159
10/7/2016,207.9329
10/6/2016,208.6485
10/5/2016,208.5034
10/4/2016,207.5848
10/3/2016,208.6485
9/30/2016,209.1513
9/29/2016,207.5848
9/28/2016,209.48
9/27/2016,208.4454
9/26/2016,207.1594
9/23/2016,208.8515
9/22/2016,210.0022
9/21/2016,208.6871
9/20/2016,206.3665
9/19/2016,206.3568
9/16/2016,206.3181
9/15/2016,207.1187
9/14/2016,205.0694
9/13/2016,205.1464
9/12/2016,208.1385
9/9/2016,205.1945
9/8/2016,210.2262
9/7/2016,210.7073
9/6/2016,210.7265
9/2/2016,210.0915
9/1/2016,209.1487
8/31/2016,209.1391
8/30/2016,209.7356
8/29/2016,210.0819
8/26/2016,209.0525
8/25/2016,209.4469
8/24/2016,209.5913
8/23/2016,210.6688
8/22/2016,210.2455
8/19/2016,210.2551
8/18/2016,210.563
8/17/2016,210.0915
8/16/2016,209.6971
8/15/2016,210.7842
8/12/2016,210.1781
8/11/2016,210.3609
8/10/2016,209.3892
8/9/2016,209.9087
8/8/2016,209.7837
8/5/2016,209.9087
8/4/2016,208.2058
8/3/2016,207.9846
8/2/2016,207.3785
8/1/2016,208.7158
7/29/2016,208.8889
7/28/2016,208.5522
7/27/2016,208.3117
7/26/2016,208.533
7/25/2016,208.4367
7/22/2016,209.0044
7/21/2016,208.0712
7/20/2016,208.8601
7/19/2016,207.9942
7/18/2016,208.2058
7/15/2016,207.6478
7/14/2016,207.9268
7/13/2016,206.7724
7/12/2016,206.8012
7/11/2016,205.3099
7/8/2016,204.5884
7/7/2016,201.5867
7/6/2016,201.7117
7/5/2016,200.5091
7/1/2016,201.9619
6/30/2016,201.5386
6/29/2016,198.8255
6/28/2016,195.4966
6/27/2016,192.0331
6/24/2016,195.5351
6/23/2016,202.8181
6/22/2016,200.2109
6/21/2016,200.538
6/20/2016,199.9704
6/17/2016,198.6908
6/16/2016,199.4331
6/15/2016,198.8397
6/14/2016,199.1172
6/13/2016,199.5096
6/10/2016,201.0602
6/9/2016,202.984
6/8/2016,203.2615
6/7/2016,202.6011
6/6/2016,202.2853
6/3/2016,201.2612
6/2/2016,201.8642
6/1/2016,201.2516
5/31/2016,200.8401
5/27/2016,201.2229
5/26/2016,200.3615
5/25/2016,200.3041
5/24/2016,198.9545
5/23/2016,196.4086
5/20/2016,196.6766
5/19/2016,195.442
5/18/2016,196.1215
5/17/2016,196.0641
5/16/2016,197.9113
